x_value,theta,r
15,166.109375,133.5
15,167.46875,135.75
15,168.84375,137.0
15,171.03125,138.0
15,171.5625,138.25
15,174.609375,139.0
15,174.28125,139.0
15,175.640625,139.5
15,177.015625,139.75
15,178.359375,140.25
15,179.734375,141.0
15,181.09375,142.25
15,183.140625,144.25
15,184.640625,146.75
15,185.171875,149.0
15,186.53125,151.5
15,187.875,153.5
15,189.234375,156.0
15,204.4375,239.75
15,205.328125,223.25
15,207.078125,216.25
15,209.125,216.5
15,210.59375,214.75
15,211.96875,212.25
15,213.328125,209.5
15,213.78125,207.5
15,215.015625,205.5
15,217.421875,203.75
15,218.09375,202.75
15,220.140625,201.5
15,221.515625,200.5
15,222.875,199.75
15,223.5625,199.25
15,225.609375,199.0
15,226.96875,199.5
15,228.59375,199.75
15,229.703125,200.0
15,231.078125,201.0
15,232.4375,202.0
15,233.390625,203.0
15,235.0625,204.25
15,236.421875,206.5
15,237.78125,209.0
15,239.140625,212.25
15,243.21875,231.75
15,244.5625,238.5
15,248.859375,294.25
15,249.984375,304.0
15,251.25,315.0
15,252.625,326.75
15,253.671875,339.25
15,254.578125,356.25
15,259.40625,437.5
15,260.75,424.0
15,262.015625,416.75
15,263.703125,415.5
15,264.953125,420.75
15,267.75,1552.75
15,269.109375,1550.75
15,270.484375,1547.75
15,271.890625,1540.5
15,273.1875,1548.75
15,274.578125,1547.5
15,275.765625,1548.25
15,277.109375,1546.5
15,278.484375,1550.0
15,279.859375,1558.25
15,281.140625,1563.5
15,282.546875,1567.25
15,283.890625,1570.5
15,285.21875,1577.25
15,286.5625,1589.75
14,292.3125,564.25
15,297.234375,663.0
15,301.328125,692.25
15,304.65625,1167.75
15,306.046875,1124.25
15,307.390625,1085.5
15,308.890625,1047.75
15,313.4375,743.0
13,314.9375,737.25
10,316.328125,733.0
15,319.953125,354.0
15,322.84375,808.75
15,324.265625,794.0
15,325.640625,771.25
15,326.984375,767.0
15,328.421875,753.0
15,329.765625,747.0
15,331.34375,654.0
15,335.859375,559.25
15,337.03125,561.25
15,338.5625,545.75
15,339.890625,545.25
15,341.265625,540.0
15,342.78125,542.25
11,349.09375,218.75
15,345.390625,557.0
15,346.453125,595.75
15,347.59375,635.5
15,349.1875,622.75
15,355.078125,266.75
13,354.5625,620.5
15,356.03125,624.75
15,357.234375,631.5
15,358.625,625.0
15,359.96875,623.5
15,1.359375,614.25
15,2.671875,625.25
15,5.484375,623.25
15,9.453125,626.5
15,10.9375,630.75
15,14.703125,419.75
15,16.0625,419.75
15,17.4375,416.75
15,18.703125,417.0
15,20.375,416.0
15,21.6875,415.0
15,22.859375,415.0
15,24.296875,415.5
15,25.90625,415.0
15,27.203125,415.25
15,28.546875,415.75
15,29.546875,416.5
15,36.6875,245.75
15,39.90625,160.0
15,41.265625,154.25
15,42.734375,151.0
15,44.109375,148.0
15,45.46875,144.75
15,46.828125,142.5
15,49.703125,140.5
15,49.3125,139.25
15,50.921875,138.0
15,53.5625,136.5
15,53.640625,135.0
14,55.0,133.25
8,58.328125,131.5
15,167.296875,132.25
15,167.625,134.25
15,167.859375,136.0
15,169.21875,137.25
15,170.578125,138.0
15,171.953125,138.75
15,173.796875,139.0
15,174.90625,139.25
15,176.03125,139.5
15,178.21875,140.0
15,178.75,140.25
15,180.109375,141.25
15,182.734375,143.0
15,182.828125,144.75
15,184.75,147.25
15,185.5625,149.75
15,187.671875,152.25
15,188.234375,155.0
